year,quarter,region,area,level_of_edu,value,unit,source
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,Total,No Data,0.0,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Total,59.42,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,No Education,32.42,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Below Primary Education,46.9,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Primary Education,70.5,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Lower Secondary Education,50.15,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Upper Secondary Education - General Track,60.91,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Upper Secondary Education - Vocational Track,61.66,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Upper Secondary Education - Academic Track,25.0,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Higher Education - Academic Track,83.75,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Higher Education - Vocational Track,82.04,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Higher Education - Teacher Education Track,69.33,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,Other Education,0.0,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,No Data,0.0,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Total,61.52,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,No Education,26.11,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Below Primary Education,50.57,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Primary Education,73.94,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Lower Secondary Education,52.4,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Upper Secondary Education - General Track,72.0,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Upper Secondary Education - Vocational Track,62.85,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Upper Secondary Education - Academic Track,0.0,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Higher Education - Academic Track,86.54,Percentage,National Statistical Office of Thailand
2561,Quarter 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,Higher Education - Vocational Track,83.85,Percentage,National Statistical Office of Thailand
